PostDate,Headline,Preview
Posted at 5:14 11 Jan,China's Baidu and Geely partner up for smart cars,The search engine giant and carmaker will go up against Tesla and other homegrown competitors.
Posted at 8:25 10 Jan,Amazon to remove Parler from web hosting service,"If Parler fails to find a new web hosting service by Sunday, the entire network will go offline."
Posted at 11:52 9 Jan,Google suspends 'free speech' app Parler,Apple will also remove the social network from its App Store if it does not change its policies.
Posted at 7:50 8 Jan,Hyundai's confusion over Apple electric car tie-up,The Korean car company originally said it was in talks with the tech titan before backtracking.
Posted at 12:55 31 Dec 2020,Apple executes New Year's Eve apps purge in China,"The tech firm removed about 46,000 apps in a day to meet a 31 December deadline."
Posted at 12:13 30 Dec 2020,Apple removes app promoting parties in pandemic,"US platform Vybe Together advertised ""gatherings every weekend"" to its thousands of users."
Posted at 3:52 23 Dec 2020,Elon Musk says Apple's boss snubbed takeover deal,"Tesla's founder claims Apple CEO Tim Cook refused talks during the car company's ""darkest days""."
Posted at 1:08 22 Dec 2020,Tech trends in 2021: Fast planes and homeworking,"From a potentially record-breaking electric plane, to new homeworking tech, what to watch out for in 2021."
Posted at 13:46 21 Dec 2020,Al Jazeera staff ‘hacked via Israeli spyware’,NSO Group says a report that its software was used to target journalists “lacks evidence”.
Posted at 1:00 17 Dec 2020,Facebook pours fuel on Apple privacy row,A long-running row over tracking user data for ads escalates as Facebook goes on the offensive.
Posted at 19:07 14 Dec 2020,Apple forces apps to display what they do with data,Apps on all of Apple's app stores will now have to reveal what data they collect and what it is used for.
Posted at 18:43 13 Dec 2020,Arrests as Indian workers ransack iPhone plant,Workers at the Taiwanese-run factory near Bangalore said they had not been fully paid for months.
Posted at 18:57 9 Dec 2020,Xbox streaming confirmed for Apple iPhones and PCs,"After a high-profile row with Apple earlier this year, Microsoft finds a fix for its game streaming."
Posted at 17:35 8 Dec 2020,Apple unveils £549 over-ear headphones,The price and the handbag-style carrying case have raised eyebrows online.
Posted at 17:12 2 Dec 2020,Flaw allowed iPhone hack remotely through wi-fi,The vulnerability has been fixed in an update since May this year.
Posted at 15:18 2 Dec 2020,NHS Covid-19 and Zoom top iPhone's 2020 app charts,The contact-tracing app was downloaded more times than TikTok and WhatsApp via Apple's store.
Posted at 17:34 30 Nov 2020,Italy fines Apple over iPhone water resistance,Italy's competition authority has fined Apple €10m for misleading claims about the iPhone.
Posted at 2:13 26 Nov 2020,Why don't Facebook and Apple like each other?,Relations between the two companies are at an all-time low.
Posted at 19:29 25 Nov 2020,New Metro ticket app cannot be used on iPhones,It is believed Apple has questions about data access and third-party suppliers.
Posted at 22:49 23 Nov 2020,Apple's security chief charged with bribery,The company's head of security is charged with planning to swap iPads for gun permits
Posted at 5:14 11 Jan,China's Baidu and Geely partner up for smart cars,The search engine giant and carmaker will go up against Tesla and other homegrown competitors.
Posted at 8:25 10 Jan,Amazon to remove Parler from web hosting service,"If Parler fails to find a new web hosting service by Sunday, the entire network will go offline."
Posted at 11:52 9 Jan,Google suspends 'free speech' app Parler,Apple will also remove the social network from its App Store if it does not change its policies.
Posted at 7:50 8 Jan,Hyundai's confusion over Apple electric car tie-up,The Korean car company originally said it was in talks with the tech titan before backtracking.
Posted at 12:55 31 Dec 2020,Apple executes New Year's Eve apps purge in China,"The tech firm removed about 46,000 apps in a day to meet a 31 December deadline."
Posted at 12:13 30 Dec 2020,Apple removes app promoting parties in pandemic,"US platform Vybe Together advertised ""gatherings every weekend"" to its thousands of users."
Posted at 3:52 23 Dec 2020,Elon Musk says Apple's boss snubbed takeover deal,"Tesla's founder claims Apple CEO Tim Cook refused talks during the car company's ""darkest days""."
Posted at 1:08 22 Dec 2020,Tech trends in 2021: Fast planes and homeworking,"From a potentially record-breaking electric plane, to new homeworking tech, what to watch out for in 2021."
Posted at 13:46 21 Dec 2020,Al Jazeera staff ‘hacked via Israeli spyware’,NSO Group says a report that its software was used to target journalists “lacks evidence”.
Posted at 1:00 17 Dec 2020,Facebook pours fuel on Apple privacy row,A long-running row over tracking user data for ads escalates as Facebook goes on the offensive.
Posted at 19:07 14 Dec 2020,Apple forces apps to display what they do with data,Apps on all of Apple's app stores will now have to reveal what data they collect and what it is used for.
Posted at 18:43 13 Dec 2020,Arrests as Indian workers ransack iPhone plant,Workers at the Taiwanese-run factory near Bangalore said they had not been fully paid for months.
Posted at 18:57 9 Dec 2020,Xbox streaming confirmed for Apple iPhones and PCs,"After a high-profile row with Apple earlier this year, Microsoft finds a fix for its game streaming."
Posted at 17:35 8 Dec 2020,Apple unveils £549 over-ear headphones,The price and the handbag-style carrying case have raised eyebrows online.
Posted at 17:12 2 Dec 2020,Flaw allowed iPhone hack remotely through wi-fi,The vulnerability has been fixed in an update since May this year.
Posted at 15:18 2 Dec 2020,NHS Covid-19 and Zoom top iPhone's 2020 app charts,The contact-tracing app was downloaded more times than TikTok and WhatsApp via Apple's store.
Posted at 17:34 30 Nov 2020,Italy fines Apple over iPhone water resistance,Italy's competition authority has fined Apple €10m for misleading claims about the iPhone.
Posted at 2:13 26 Nov 2020,Why don't Facebook and Apple like each other?,Relations between the two companies are at an all-time low.
Posted at 19:29 25 Nov 2020,New Metro ticket app cannot be used on iPhones,It is believed Apple has questions about data access and third-party suppliers.
Posted at 22:49 23 Nov 2020,Apple's security chief charged with bribery,The company's head of security is charged with planning to swap iPads for gun permits
Posted at 8:40 22 Nov 2020,Zooming ahead: Which phone camera comes out top?,Chris Fox puts four of the latest phones - including the iPhone 12 and Pixel 5 - to the test
Posted at 17:38 19 Nov 2020,Fortnite's return to iPhones via cloud confirmed,"Nvidia's game-streaming service is working on an iPhone version of Fortnite, despite the app's ban."
Posted at 1:12 19 Nov 2020,Apple to pay $113m to settle iPhone 'batterygate',The lawsuit argued the iPhone-maker slowed down device performance to make users buy newer models.
Posted at 13:03 18 Nov 2020,Apple slashes fees to indie app developers,Those who earn less than $1m this year will see their commission charge halved in 2021.
Posted at 20:43 16 Nov 2020,NHS Covid-19 app suffers 'blue screen' glitch,"Many users report the iPhone version of the contact-tracing app gets ""stuck"" on launch."
Posted at 20:02 10 Nov 2020,Apple unveils first Mac computers with its own chip,Firm says the switch means the computers offer better battery life and can run iPhone and iPad apps.
Posted at 13:00 9 Nov 2020,Apple slaps iPhone supplier with labour warning,"Students on a work-study programme at Pegatron were made to work overtime and night shifts, Apple says."
Posted at 18:43 5 Nov 2020,Fortnite set to return to iPhones via cloud gaming,"Apple threw the game off its App Store in August, but Nvidia's service offers it a way back to iOS."
Posted at 23:00 29 Oct 2020,Business booms for US tech giants,Latest sales and profit figures from America's big tech companies exceed Wall Street expectations.
Posted at 18:18 29 Oct 2020,Calls to ban 'harmful' diet app promoted by Apple,Carrot Fit has been condemned for language that experts say could trigger eating disorders.
Posted at 15:21 26 Oct 2020,Facebook avoids Apple with cloud-gaming launch,The company's internet-streamed games will not work on iPhones or iPads at launch.
Posted at 4:14 23 Oct 2020,Huawei 'forging forward' despite Trump sanctions,The phone maker is at the centre of the Trump administration's crackdown on Chinese tech firms.
Posted at 0:16 23 Oct 2020,White supremacist songs found on streaming services,"The BBC found racist, homophobic and anti-Semitic content on Spotify, Apple Music, YouTube Music and Deezer."
Posted at 15:50 16 Oct 2020,Tech Tent: Who needs 5G?,Is Apple’s 5G iPhone a breakthrough moment for the next generation of mobile phone networks?
Posted at 19:20 13 Oct 2020,iPhone 12: Apple makes jump to 5G,"Analysts say the new iPhone line-up could trigger a ""super-cycle"" of consumer upgrades."
Posted at 0:21 13 Oct 2020,Why iPhone 12 marks dawn of a new chip technology,A chip-making process pioneered in the Netherlands will let smartphones take the next leap forward.
Posted at 16:04 9 Oct 2020,Tech Tent: Giants under the cosh from Congress,Is big tech really about to face the wrath of tough-talking politicians?
Posted at 13:51 9 Oct 2020,Xbox game streaming 'heading to iPhones',Microsoft is reportedly working on a browser-based version of its game-streaming service.
Posted at 6:28 7 Oct 2020,Should US tech giants be reined in and broken up?,"Facebook, Amazon, Google and Apple accused of 'monopoly power'"
Posted at 0:20 7 Oct 2020,US tech giants accused of 'monopoly power',A congressional report from House Democrats recommends changes that could lead to breaking up the companies.
Posted at 17:35 5 Oct 2020,Apple sues recycling firm that 'resold old gadgets',"After sending 500,000 gadgets for recycling, Apple says it found more than 100,000 were still in use."
Posted at 10:50 2 Oct 2020,Should you be buying a second-hand smartphone?,Selling refurbished electronics is a fast-growing business where customers can make big savings.
Posted at 14:53 25 Sep 2020,Europe to fight Apple 13bn euro tax bill decision,EU court ruling that the tech giant does not have to pay hefty back taxes to Ireland goes back to court.
Posted at 15:06 24 Sep 2020,Developer coalition takes on Apple App Store,"Spotify, Epic Games and others unite to campaign against the tech giant's app policies."
Posted at 9:33 22 Sep 2020,Is the gold in your phone funding drug gangs?,Gold from a refiner used by criminals to launder drug money has entered supply chains for smartphones and cars.
Posted at 14:34 18 Sep 2020,Google and Facebook under pressure to ban kids' ads,"An open letter from academics and politicians also targets Amazon, Apple and Microsoft."
Posted at 13:51 16 Sep 2020,'Unexpected' iPhone update threatens app glitches,Developers are complaining that they were only given a day's notice about the release.
Posted at 21:00 15 Sep 2020,Apple to launch get-fit service alongside new kit,The tech firm also showed off new smartwatches with blood-oxygen sensors and new iPads.
Posted at 12:54 14 Sep 2020,Customs seize OnePlus buds as 'fake Apple AirPods',"Officials seize 2,000 ""counterfeit Apple"" products despite clear branding from competitor OnePlus."
Posted at 22:30 8 Sep 2020,Apple fires back in Fortnite App Store battle,"The tech giant said its dispute with the firm behind the game was a ""basic disagreement over money""."
Posted at 18:10 4 Sep 2020,Apple delays new anti-tracking privacy measures,Facebook has warned that Apple's privacy plans could render some of its tools useless.
Posted at 17:16 2 Sep 2020,Apple more valuable than the entire FTSE 100,The world's largest company has seen its value leap as demand for tech goods surged during lockdown.
