,Date,Preview,Title
0,2019-08-05,"People in financial services jobs that have a black mark against their name at one company can still move easily to another firm and become a ""rolling bad apple"" despite efforts by Britain's finance watchdog to improve conduct in the industry.",UK watchdog says 'rolling bad apple' bankers still an issue
1,2019-08-05,"When 23-year-old Chinese student Aaron Huang started his hunt for an Android replacement for his Apple iPhone in April this year, it was clear which brand was trying hardest to win him over.",Promotions and patriotism: 'Battle Mode' Huawei sees China smartphone sales surge
2,2019-08-02,"The Apple Inc credit card being launched with Goldman Sachs Group Inc will not allow the purchase of cryptocurrencies with the card, according to a customer agreement posted to Goldman's website on Friday.",Apple Card will not allow purchase of cryptocurrencies
3,2019-08-02,"The Apple Inc credit card being launched with Goldman Sachs Group Inc will not allow the purchase of cryptocurrencies with the card, according to a customer agreement posted to Goldman's website on Friday.",UPDATE 1-Apple Card will not allow purchase of cryptocurrencies
4,2019-08-02,"Apple Inc could see a hit to its annual earnings from U.S. President Donald Trump's newly proposed 10% tariff on Chinese imports from Sept. 1, analysts from Bank of America Merrill Lynch said on Friday.",U.S. tariff threat may compound Apple's iPhone woes: BofA
5,2019-08-02,"Apple Inc and Alphabet Inc's Google have globally suspended reviewing recordings from users interacting with their voice assistants, as concerns over data privacy mount.","Apple, Google pause reviewing audio recordings from voice assistants"
6,2019-08-02,"Apple Inc and Alphabet Inc's Google have globally suspended reviewing recordings from users interacting with their voice assistants, as concerns over data privacy mount.","UPDATE 1-Apple, Google pause reviewing audio recordings from voice assistants"
7,2019-08-02,"Apple Inc could see a hit to its annual earnings from U.S. President Donald Trump's newly proposed 10% tariff on Chinese imports from Sept. 1, analysts from Bank of America Merrill Lynch said on Friday.",UPDATE 1-U.S. tariff threat may compound Apple's iPhone woes - BofA
8,2019-08-02,"Shares of Apple supplier Sharp Corp tumbled 14% on Friday given concerns about an escalating China-U.S. trade war, even as the Japanese firm said a day earlier that it would build a plant in Vietnam to ease any impact on its business.",Apple supplier Sharp tumbles as trade gloom offsets Vietnam plant plans
9,2019-08-02,"Shares of Apple supplier Sharp Corp tumbled 14% on Friday given concerns about an escalating China-U.S. trade war, even as the Japanese firm said a day earlier that it would build a plant in Vietnam to ease any impact on its business.",Apple supplier Sharp tumbles as trade gloom offsets Vietnam plant plans
10,2019-08-01,"Apple Inc shares rose 4.4% on Wednesday, after the company calmed Wall Street nerves with an improvement in sales in China and as several brokerages predicted a boost from its services business and the launch of new iPhones in the second half of 2019.","Barack Obama, silent in Democratic nominating contest, omnipresent in debate"
11,2019-07-31,"Apple Inc shares rose 4.4% on Wednesday, after the company calmed Wall Street nerves with an improvement in sales in China and as several brokerages predicted a boost from its services business and the launch of new iPhones in the second half of 2019.",Qualcomm outlook clouded by Huawei's smartphone gains in China
12,2019-07-31,"Shares of Apple Inc rose 4.2% on Wednesday, after the company calmed Wall Street nerves with an improvement in sales in China and as several brokerages predicted a boost from its services business and the launch of new iPhones in the second half of 2019.","Apple woos investors with China gain, market value nears $1 trillion"
13,2019-07-31,"Apple Inc iPhone sales dropped to less than half of quarterly revenue for the first time in seven years, but CEO Tim Cook on Tuesday described the change as successfully diversifying away from a single product and forecast results above Wall Street targets.","UPDATE 1-Apple woos investors with China gain, market value nears $1 trillion"
14,2019-07-31,"Apple Inc iPhone sales dropped to less than half of quarterly revenue for the first time in seven years, but CEO Tim Cook on Tuesday described the change as successfully diversifying away from a single product and forecast results above Wall Street targets.","Apple woos investors with China gain, market value nears $1 trillion"
15,2019-07-31,"Two of America’s fabled technology giants have traded places, with Tim Cook’s Apple playing tortoise to the hare that is Satya Nadella’s Microsoft. This new drama could be on for an extended run.","Apple's services, wearables shore up results as iPhone drops below half of sales"
16,2019-07-30,"Apple Inc's quarterly profit and revenue beat Wall Street targets on Tuesday and its forecast for fourth-quarter sales topped expectations as well, with Chief Executive Tim Cook telling Reuters that ""marked improvement in greater China"" drove the results.","UPDATE 4-Apple's services, wearables shore up results as iPhone drops below half of sales"
17,2019-07-30,"U.S. and Chinese trade negotiators shift to Shanghai this week for their first in-person talks since a G20 truce last month, a change of scenery for two sides struggling to resolve deep differences on how to end a year-long trade war.",Breakingviews - Tim Cook plays tortoise to Satya Nadella’s hare
18,2019-07-30,"The promised executive actions to be taken on Day One include policy changes on housing, student loans, climate change and immigration. This report produced by Jonah Green.",Apple revenue forecast tops expectations; iPhone trends stabilize
19,2019-07-30,"A federal judge on Friday ordered a far-right conspiracy theorist who left an ominous note for Vice President Mike Pence inside the U.S. Capitol to be detained pending trial, saying he participated in a ""violent insurrection.""","U.S., China move trade talks to Shanghai amid deal pessimism"
20,2019-07-29,"Every year around St. Jacob's Day, men from Austria's Salzburg region grapple with each other in a natural arena at the top of the Hundstein mountain in a traditional martial arts contest - the Hundstoa, or Jakobi Ranggeln.","Trial of strength at 2,000 meters altitude: Celtic wrestling in Austria"
21,2019-07-28,"Groundbreaking TV show ""Transparent"" will end with a musical episode in which the Pfefferman family grapples with the death of the character played by Jeffrey Tambor, the award-winning star fired after accusations of sexual misconduct.",'Transparent' musical finale aims for upbeat send-off after star's exit
22,2019-07-26,U.S. President Donald Trump on Friday said his administration would not grant Apple Inc any relief for tariffs on parts made in China for its Mac Pro computer and later added he thought the firm would build a plant in Texas.,U.S. to deny tariff relief for Apple Mac Pro parts from China: Trump
23,2019-07-26,"Apple Inc took a major step toward supplying its own smartphone chips by purchasing the majority of Intel Corp's modem business in a deal valued at $1 billion, the companies said on Thursday.",Apple pays $1 billion for Intel unit in push for chip independence
24,2019-07-25,"Eight state attorneys general met with U.S. Attorney General William Barr on Thursday to discuss the effect of big tech companies on competition, and various antitrust actions are being reviewed, the Texas attorney general's office said in a statement.","U.S. attorney general, state officials discuss big tech firms' effect on competition"
25,2019-07-25,Dow Inc forecast current-quarter revenue below analysts' expectations on Thursday and cut 2019 spending as chemical companies grapple with U.S.-China trade dispute and an oversupply of chemicals used to make plastics.,Dow cuts 2019 spending forecast on U.S-China trade tensions
26,2019-07-25,"Apple Inc took a major step toward supplying its own smartphone chips by purchasing the majority of Intel Corp's modem business in a deal valued at $1 billion, the companies said on Thursday.",UPDATE 3-Apple pays $1 bln for Intel unit in push for chip independence
27,2019-07-24,"Bank of Japan officials are divided on whether to ease monetary policy next week or hold off, as they grapple with the need to protect the economy from an unwelcome yen spike and heightening global uncertainties with a dwindling tool-kit.","BOJ divided on need to ease next week, strengthen forward guidance: sources"
28,2019-07-24,"Despite the carrot of a potential exemption from import tariffs, Chinese soybean crushers are unlikely to buy in bulk from the United States any time soon as they grapple with poor margins and longer-term doubts about Sino-U.S. trade relations, people familiar with the matter said.",China's soybean crushers in no rush to buy from U.S. despite Beijing tariff offer: sources
29,2019-07-23,"The U.S. Justice Department said on Tuesday it was opening a broad investigation of major digital technology firms into whether they engage in anticompetitive practices, the strongest sign the Trump administration is stepping up its scrutiny of Big Tech.",Big Tech faces broad U.S. Justice Department antitrust probe
30,2019-07-23,"PulteGroup Inc on Tuesday forecast full-year home sales and gross margins below analyst expectations, as it grapples with rising land costs, sending its shares down as much as 7%.","Pulte full-year forecast disappoints, higher costs persist"
31,2019-07-23,"United Technologies on Tuesday raised its full-year sales and profit forecasts, aided by an increase in demand for its aircraft maintenance parts and services as airlines grapple with overworked planes due to the grounding of Boeing's MAX jets.",United Tech profit beats on aircraft parts demand after MAX grounding
32,2019-07-23,"Apple supplier AMS kept alive the prospect of a counterbid for German lighting group Osram on Tuesday, as the Austrian company predicted demand for its optical sensors would continue to recover in the third quarter.",AMS re-opens door on Osram bid as recovery continues
33,2019-07-23,"* Shares jump 10%, Osram also higher (Adds detail, analyst, shares)",UPDATE 2-AMS re-opens door on Osram bid as recovery continues
34,2019-07-23,"Cardiff-based IQE Plc expects new supply chains in Asia to provide significant orders, the supplier of semiconductor wafer to Apple Inc said on Tuesday, sending its shares up more than 13%.",UK's IQE reassures investors with Asian orders
